42,4,48,5,56,18,3, negative
42,24,48,5,57,27,37, negative
51,54,48,5,41,34,43, negative
3,16,48,5,56,11,23, negative
29,37,48,5,48,44,52, negative
25,4,48,5,47,33,42, negative
21,51,48,5,5,32,41, negative
43,39,48,5,47,31,41, negative
61,45,48,5,48,35,41, negative
17,38,48,5,45,42,5, negative
42,35,48,5,58,15,27, negative
44,34,48,5,3,33,43, negative
44,51,48,5,47,26,36, negative
42,3,48,5,48,26,36, negative
48,42,48,5,45,25,35, negative
34,55,48,5,58,31,41, negative
36,56,48,5,43,45,53, negative
41,43,48,5,5,24,25, negative
38,26,48,5,54,16,28, negative
33,47,48,5,53,18,29, negative
24,34,48,5,38,3,4, negative
26,5,48,5,44,32,41, negative
44,49,48,5,39,38,4, negative
38,3,48,5,43,29,39, negative
41,51,48,5,58,2,31, negative
61,36,48,5,49,35,44, negative
39,31,48,5,38,34,43, negative
3,44,48,5,49,22,33, negative
17,52,48,5,49,37,46, negative
36,42,48,5,53,32,41, negative
22,34,48,5,42,29,39, negative
16,43,48,5,54,27,37, negative
23,48,48,5,59,88,89, negative
33,56,48,5,33,78,8, negative
31,5,48,5,57,84,85, negative
6,61,48,5,54,67,71, negative
7,4,48,5,56,86,83, negative
6,5,1,5,54,77,8, negative
74,7,48,5,66,65,69, negative
63,65,48,5,66,67,71, negative
34,67,48,5,52,76,79, negative
58,34,48,5,56,87,81, negative
36,47,48,5,51,69,72, negative
11,5,48,5,58,72,68, negative
31,36,48,5,58,94,94, negative
52,54,48,5,62,76,79, negative
46,59,48,5,36,76,23, negative
36,45,48,5,38,79,17, negative
0,51,48,5,35,67,44, negative
59,29,48,5,64,75,77, negative
81,52,48,5,57,78,8, negative
57,38,48,5,6,49,33, negative
67,81,48,5,25,42,25, negative
68,82,48,5,38,65,56, negative
7,64,48,5,47,51,47, negative
63,83,48,5,4,39,19, negative
71,86,48,5,4,54,32, negative
68,78,48,5,43,44,42, negative
74,47,48,5,5,57,42, negative
63,8,48,5,46,31,29, negative
64,78,48,5,5,36,38, negative
74,74,48,5,31,53,52, negative
75,55,1,1,4,47,3, positive
61,75,48,5,51,33,33, positive
67,84,48,5,74,54,37, positive
6,76,1,5,77,59,52, positive
63,49,48,5,79,45,28, positive
71,46,1,5,52,59,3, positive